date,ticker,FCF_Yield,ROIC,Gearing,ROE,EV_EBITDA,P_E,EBITDA_Margin,Net_Margin,Revenue_Growth_YOY
2020-01-31,HO.PA,,,,,,,,,
2020-02-29,HO.PA,,,,,,,,,
2020-03-31,HO.PA,,,,,,,,,
2020-04-30,HO.PA,,,,,,,,,
2020-05-31,HO.PA,,,,,,,,,
2020-06-30,HO.PA,,,,,,,,,
2020-07-31,HO.PA,,,,,,,,,
2020-08-31,HO.PA,,,,,,,,,
2020-09-30,HO.PA,,,,,,,,,
2020-10-31,HO.PA,,,,,,,,,
2020-11-30,HO.PA,,,,,,,,,
2020-12-31,HO.PA,,,,,,,,,
2021-01-31,HO.PA,,,,,,,,,
2021-02-28,HO.PA,,,,,,,,,
2021-03-31,HO.PA,,,,,,,,,
2021-04-30,HO.PA,,,,,,,,,
2021-05-31,HO.PA,,,,,,,,,
2021-06-30,HO.PA,,,,,,,,,
2021-07-31,HO.PA,,,,,,,,,
2021-08-31,HO.PA,,,,,,,,,
2021-09-30,HO.PA,,,,,,,,,
2021-10-31,HO.PA,,,,,,,,,
2021-11-30,HO.PA,,,,,,,,,
2021-12-31,HO.PA,0.04231777561457594,0.0572365792627794,27.810688966492634,5.113702527563951,23.47308186119054,48.96084455547392,0.14255187747035572,0.06724308300395257,
2022-01-31,HO.PA,,,,,,,,,
2022-02-28,HO.PA,,,,,,,,,
2022-03-31,HO.PA,,,,,,,,,
2022-04-30,HO.PA,,,,,,,,,
2022-05-31,HO.PA,,,,,,,,,
2022-06-30,HO.PA,,,,,,,,,
2022-07-31,HO.PA,,,,,,,,,
2022-08-31,HO.PA,,,,,,,,,
2022-09-30,HO.PA,,,,,,,,,
2022-10-31,HO.PA,,,,,,,,,
2022-11-30,HO.PA,,,,,,,,,
2022-12-31,HO.PA,0.046724196773254914,0.061445835983593974,26.03767045682268,5.332787497517179,21.384896642498607,47.57145060860253,0.14287828423113702,0.06378352534037612,0.0850296442687748
2023-01-31,HO.PA,,,,,,,,,
2023-02-28,HO.PA,,,,,,,,,
2023-03-31,HO.PA,,,,,,,,,
2023-04-30,HO.PA,,,,,,,,,
2023-05-31,HO.PA,,,,,,,,,
2023-06-30,HO.PA,,,,,,,,,
2023-07-31,HO.PA,,,,,,,,,
2023-08-31,HO.PA,,,,,,,,,
2023-09-30,HO.PA,,,,,,,,,
2023-10-31,HO.PA,,,,,,,,,
2023-11-30,HO.PA,,,,,,,,,
2023-12-31,HO.PA,0.016616465995563354,0.05271200175809686,40.80740876273684,4.95189505404393,23.515966108374386,52.089669290599964,0.13328883679538103,0.05553384992728615,0.0489276444606348
2024-01-31,HO.PA,,,,,,,,,
2024-02-29,HO.PA,,,,,,,,,
2024-03-31,HO.PA,,,,,,,,,
2024-04-30,HO.PA,,,,,,,,,
2024-05-31,HO.PA,,,,,,,,,
2024-06-30,HO.PA,,0.05250287293422349,40.94710657009732,4.982968341776472,23.578092070186866,,,,
2024-07-31,HO.PA,,,,,,,,,
2024-08-31,HO.PA,,,,,,,,,
2024-09-30,HO.PA,,,,,,,,,
2024-10-31,HO.PA,,,,,,,,,
2024-11-30,HO.PA,,,,,,,,,
2024-12-31,HO.PA,0.03983037056714797,0.07427737195721791,38.10471360772149,6.913827871022914,21.091478652896274,37.55446815921099,0.12987568402943148,0.06898612987568403,0.11657007662086771
2025-01-31,HO.PA,,,,,,,,,
2025-02-28,HO.PA,,,,,,,,,
2025-03-31,HO.PA,,,,,,,,,
2025-04-30,HO.PA,,,,,,,,,
2025-05-31,HO.PA,,,,,,,,,
2025-06-30,HO.PA,,,,,,,,,
2025-07-31,HO.PA,,,,,,,,,
2025-08-31,HO.PA,,,,,,,,,
2025-09-30,HO.PA,,,,,,,,,
2025-10-31,HO.PA,,,,,,,,,
2025-11-30,HO.PA,,,,,,,,,
